Variance	Mean
0.0016485224	0.003971
0.0016336158	0.0039690536
0.0016188909	0.0039671067
0.0016043547	0.0039651603
0.0015900003	0.0039632134
0.0015758345	0.003961267
0.001561854	0.0039593206
0.0015480554	0.0039573737
0.0015344453	0.0039554273
0.0015210172	0.0039534804
0.0015077775	0.003951534
0.0014947231	0.0039495876
0.0014818508	0.0039476407
0.0014691668	0.0039456943
0.0014566678	0.0039437478
0.0014443514	0.003941801
0.001432223	0.0039398546
0.0014202769	0.0039379077
0.001408519	0.0039359613
0.0013969462	0.0039340148
0.0013855561	0.003932068
0.0013743538	0.0039301216
0.001363334	0.0039281747
0.0013525021	0.0039262282
0.0013418555	0.0039242818
0.0013313915	0.0039223349
0.0013211153	0.0039203885
0.0013110219	0.0039184417
0.0013011161	0.0039164952
0.0012913954	0.0039145488
0.0012818579	0.0039126019
0.0012725077	0.0039106555
0.0012633428	0.0039087091
0.0012543609	0.0039067622
0.0012455654	0.0039048156
0.001236956	0.0039028692
0.0012285309	0.0039009225
0.0012202912	0.0038989759
0.0012122365	0.0038970292
0.0012043681	0.0038950828
0.001196684	0.0038931362
0.001189185	0.0038911895
0.0011818714	0.0038892428
0.001174743	0.0038872962
0.0011678007	0.0038853498
0.0011610427	0.0038834031
0.00115447	0.0038814565
0.0011480825	0.0038795098
0.0011418811	0.0038775634
0.001135864	0.0038756168
0.0011300323	0.0038736701
0.0011243858	0.0038717235
0.0011189245	0.0038697768
0.0011136491	0.0038678304
0.0011085583	0.0038658838
0.0011036527	0.0038639371
0.0010989321	0.0038619904
0.001094334	0.0038600426
0.0010898095	0.0038580946
0.0010853592	0.0038561466
0.0010809831	0.0038541986
0.0010766719	0.0038522494
0.0010723876	0.0038502997
0.0010681252	0.0038483497
0.0010638851	0.0038463997
0.0010596674	0.0038444497
0.0010554725	0.0038425
0.0010512995	0.00384055
0.0010471487	0.0038386
0.0010430204	0.00383665
0.0010389144	0.0038347
0.0010348312	0.0038327503
0.0010307699	0.0038308003
0.0010267309	0.0038288503
0.0010227143	0.0038269003
0.00101872	0.0038249503
0.0010147485	0.0038230006
0.0010107989	0.0038210506
0.0010068717	0.0038191006
0.0010029668	0.0038171506
0.0009990847	0.0038152008
0.0009952244	0.0038132509
0.0009913866	0.0038113009
0.000987571	0.0038093509
0.0009837778	0.0038074009
0.0009800074	0.0038054511
0.0009762589	0.0038035011
0.0009725328	0.0038015512
0.000968829	0.0037996012
0.000965148	0.0037976514
0.0009614888	0.0037957014
0.0009578521	0.0037937514
0.0009542376	0.0037918015
0.0009506455	0.0037898515
0.0009470762	0.0037879017
0.0009435288	0.0037859517
0.0009400037	0.0037840017
0.0009365011	0.0037820517
0.0009330211	0.003780102
