Algorytm 1;Algorytm 2;Algorytm 3;Algorytm 4;Algorytm 5;Algorytm 6;Algorytm 7;Algorytm 8
2,38729;2,328662;4,231087;2,209522;1,176968;3,1967;2,273016;3,249281
2,95193;2,212606;2,291977;2,275301;1,22516;3,150869;1,219231;2,13358
1,349413;1,26231;0,619255;1,327105;1,204767;1,194648;1,220524;2,0711132
0,390475;1,303486;0,360354;0,238354;0,253571;0,602271;0,258601;1,190903
0,291572;1,176751;0,253297;0,245879;0,1208;0,351432;0,196241;0,178616
0,222389;0,89491;0,175925;0,28816;0,209033;0,17514;0,25699;0,189524
0,448125;0,374176;0,32973;0,343501;0,279125;0,184859;0,194761;0,1386
0,171903;0,292068;0,175163;0,228935;0,280959;0,253299;0,183927;0,185329
0,111706;0,331142;0,267938;0,178533;0,288548;0,227175;0,256697;0,108922
0,266424;0,3891;0,312065;0,31515;0,182411;0,197259;0,237233;0,450128
0,29783;0,157975;0,240996;0,200914;0,217498;0,166965;0,264244;0,157567
0,325988;0,353248;0,206123;0,193504;0,148205;0,193539;0,170481;0,137857
0,24614;0,120602;0,249485;0,254715;0,212702;0,236468;0,309274;0,157518
0,130044;0,197317;0,354414;0,153361;0,207006;0,124517;0,257822;0,187515
0,268146;0,269109;0,191643;0,137246;0,176063;0,205082;0,148589;0,268901
0,310092;0,263185;0,238535;0,278082;0,185897;0,208305;0,182873;0,222684
0,383517;0,319359;0,297039;0,203206;0,423252;0,166492;0,148491;0,232419
0,247023;0,257268;0,275969;0,214956;0,249398;0,373713;0,179944;0,267429
0,416349;0,302594;0,293689;0,237046;0,205017;0,23914;0,219147;0,192283
0,198893;0,367286;0,271584;0,26483;0,235237;0,235206;0,15471;0,0792375
0,336684;0,211537;0,19611;0,226005;0,235595;0,241355;0,163176;0,212945
0,58933;0,345021;0,315052;0,229178;0,229235;0,188475;0,187987;0,290123
0,370772;0,230934;0,180386;0,249781;0,249035;0,259958;0,208051;0,139499
0,356384;0,370022;0,430891;0,240426;0,260669;0,208254;0,232096;0,163116
0,332617;0,195149;0,364961;0,285047;0,27131;0,205643;0,245331;0,220173
0,538459;0,257165;0,274095;0,219281;0,221804;0,270092;0,172984;0,0860803
0,162756;0,330452;0,279061;0,298302;0,315684;0,221265;0,173849;0,303656
0,299138;0,300884;0,254372;0,235549;0,186143;0,152401;0,274372;0,250618
0,301475;0,366975;0,276555;0,363242;0,250295;0,163191;0,203174;0,120975
0,393118;0,307663;0,238741;0,168548;0,247721;0,266192;0,164979;0,46833
0,155242;0,29448;0,262243;0,178175;0,247913;0,216617;0,198797;0,220448
0,283245;0,23174;0,228349;0,245493;0,262146;0,169784;0,157313;0,18547
0,198328;0,230972;0,260123;0,340903;0,315268;0,16041;0,228569;0,270228
0,262627;0,311267;0,336452;0,172786;0,316251;0,319868;0,231066;0,287054
0,271419;0,323607;0,378371;0,207165;0,239245;0,302599;0,181016;0,335563
0,242471;0,116448;0,233042;0,283388;0,169489;0,143713;0,146963;0,148906
0,381643;0,34355;0,23393;0,225926;0,27076;0,2314;0,167601;-0,166874
0,366987;0,198271;0,303626;0,313287;0,254443;0,254668;0,175016;0,195837
0,34281;0,231478;0,279472;0,249289;0,244544;0,309994;0,172593;0,2319
0,322704;0,130119;0,249025;0,181244;0,220224;0,254848;0,232714;0,119594
0,170323;0,233285;0,305693;0,305961;0,271215;0,34465;0,222844;0,176819
0,238248;0,491676;0,194286;0,201988;0,25837;0,184557;0,256771;0,0903123
0,196534;0,203643;0,280857;0,348507;0,259177;0,234699;0,273851;0,198617
0,235744;0,138456;0,234495;0,166166;0,295998;0,235131;0,237714;0,232053
0,382737;0,304927;0,390054;0,226996;0,222502;0,183948;0,142054;0,165679
0,348761;0,242818;0,244258;0,263295;0,336069;0,197941;0,140352;0,10824
0,573629;0,338292;0,459403;0,270816;0,310496;0,178758;0,218981;0,191518
0,333789;0,602528;0,264543;0,279807;0,292563;0,190437;0,178721;0,331736
0,666699;0,496745;0,216862;0,173846;0,236163;0,194699;0,160742;0,163505
0,268776;0,203316;0,250989;0,265018;0,237212;0,163254;0,217471;0,0432096
0,328015;0,292987;0,25361;0,207544;0,262962;0,151578;0,255272;0,156909
0,309604;0,245582;0,169743;0,265387;0,246451;0,214205;0,250078;0,505106
